date_key,customer_key,voucher_no,financial_year,net_amount_inr,billed_amount_inr,cost_amount_inr,profit_amount_inr,profit_pct,src_report,src_year,import_batch_id,processed_at,record_quality,quality_flags
20220401,3643372212738964.0,DCCA/21-221,22-23,318.0,289.88,250.5535714285714,33.34642857142859,11.50352855368725,fact_sales,22-23,20260627010107,2026-06-27T01:01:07.334932+00:00,ok,
20220401,3617838188599257.0,DCCA/21-222,22-23,654.0,614.4,563.9285714285714,20.03142857142862,3.260323660714294,fact_sales,22-23,20260627010107,2026-06-27T01:01:07.334932+00:00,ok,
20220401,1992576177821872.8,DCCC/21-221,22-23,2547.0,3371.91,2011.6875,314.2925,9.320904175971483,fact_sales,22-23,20260627010107,2026-06-27T01:01:07.334932+00:00,ok,
20220401,3617838188599257.0,DCCA/21-223,22-23,425.0,399.44,359.5,19.95999999999995,4.996995794111744,fact_sales,22-23,20260627010107,2026-06-27T01:01:07.334932+00:00,ok,
20220401,996616080223912.0,DCCA/21-224,22-23,2591.0,2384.75,2145.982142857143,167.4378571428574,7.021191200035951,fact_sales,22-23,20260627010107,2026-06-27T01:01:07.334932+00:00,ok,
20220401,4499665493791848.0,DCCA/21-225,22-23,687.0,742.86,565.8035714285714,47.61642857142845,6.409879192772319,fact_sales,22-23,20260627010107,2026-06-27T01:01:07.334932+00:00,ok,
20220401,1672380556736005.0,DCCA/21-226,22-23,2308.0,4108.79,1968.669642857143,92.11035714285744,2.241787902103964,fact_sales,22-23,20260627010107,2026-06-27T01:01:07.334932+00:00,ok,
20220401,2196068599507448.8,DCCA/21-227,22-23,888.0,844.69,727.5178571428571,65.38214285714272,7.740371361936654,fact_sales,22-23,20260627010107,2026-06-27T01:01:07.334932+00:00,ok,
20220401,1161276715495550.0,DCCR/21-221,22-23,2071.0,1946.6,1751.964285714286,97.11571428571428,4.988991795218037,fact_sales,22-23,20260627010107,2026-06-27T01:01:07.334932+00:00,ok,
20220401,1161276715495550.0,DCCR/21-222,22-23,11277.0,10598.5,9538.839285714286,529.9407142857157,5.000148268959906,fact_sales,22-23,20260627010107,2026-06-27T01:01:07.334932+00:00,ok,
20220401,1621259134007977.0,DCCR/21-223,22-23,799.0,739.08,678.4821428571429,34.93785714285707,4.727209117126301,fact_sales,22-23,20260627010107,2026-06-27T01:01:07.334932+00:00,ok,
20220401,1621259134007977.0,DCCR/21-224,22-23,56.0,51.86,43.63392857142857,6.366071428571432,12.27549446311499,fact_sales,22-23,20260627010107,2026-06-27T01:01:07.334932+00:00,ok,
20220401,2050669227435892.8,DCCR/21-225,22-23,230.0,212.72,196.2142857142857,9.145714285714252,4.299414387793462,fact_sales,22-23,20260627010107,2026-06-27T01:01:07.334932+00:00,ok,
20220401,2050669227435892.8,DCCR/21-226,22-23,982.0,908.65,834.125,42.65499999999992,4.694326748473,fact_sales,22-23,20260627010107,2026-06-27T01:01:07.334932+00:00,ok,
20220401,3617838188599257.0,DCCA/21-229,22-23,1241.0,1166.8,1071.071428571428,36.92857142857147,3.164944414515896,fact_sales,22-23,20260627010107,2026-06-27T01:01:07.334932+00:00,ok,
20220402,3234684826857365.0,DCCC/21-222,22-23,779.0,787.46,647.3035714285714,48.17642857142856,6.117952476497671,fact_sales,22-23,20260627010107,2026-06-27T01:01:07.334932+00:00,ok,
20220402,3754006218318308.0,DCCC/21-223,22-23,1138.0,1047.3,936.6071428571428,79.47285714285722,7.588356454011002,fact_sales,22-23,20260627010107,2026-06-27T01:01:07.334932+00:00,ok,
20220402,1939826438035924.0,DCCA/21-2210,22-23,593.0,539.84,461.4375,68.06249999999994,12.60790234143449,fact_sales,22-23,20260627010107,2026-06-27T01:01:07.334932+00:00,ok,
20220402,1621259134007977.0,DCCR/21-227,22-23,606.0,560.6,514.6428571428571,26.43714285714294,4.715865654146081,fact_sales,22-23,20260627010107,2026-06-27T01:01:07.334932+00:00,ok,
20220402,2099735748279167.2,DCCA/21-2211,22-23,1762.0,1605.2,1473.660714285714,99.57928571428548,6.203543839663934,fact_sales,22-23,20260627010107,2026-06-27T01:01:07.334932+00:00,ok,
20220402,832772736834550.0,DCCA/21-2212,22-23,398.0,474.72,346.7767857142857,8.563214285714325,1.803845274206759,fact_sales,22-23,20260627010107,2026-06-27T01:01:07.334932+00:00,ok,
20220402,2050669227435892.8,DCCR/21-228,22-23,2835.0,2623.47,2333.508928571429,197.6910714285713,7.535480544034097,fact_sales,22-23,20260627010107,2026-06-27T01:01:07.334932+00:00,ok,
20220402,170396167752427.0,DCCA/21-2213,22-23,562.0,517.12,414.5357142857143,87.26428571428562,16.8750552510608,fact_sales,22-23,20260627010107,2026-06-27T01:01:07.334932+00:00,ok,
20220402,3617838188599257.0,DCCA/21-2214,22-23,1064.0,1000.0,900.0,50.0,5.0,fact_sales,22-23,20260627010107,2026-06-27T01:01:07.334932+00:00,ok,
20220402,3617838188599257.0,DCCA/21-2215,22-23,1718.0,1614.3,1481.964285714286,51.99571428571429,3.220944947389846,fact_sales,22-23,20260627010107,2026-06-27T01:01:07.334932+00:00,ok,
20220402,3368769229580936.0,DCCR/21-229,22-23,2709.0,2546.76,2164.034503631962,241.6654963680385,9.489135072328704,fact_sales,22-23,20260627010107,2026-06-27T01:01:07.334932+00:00,ok,
20220403,412734962137162.0,CA/1,22-23,1101.0,1013.56,933.0464285714288,49.97357142857154,4.930499568705508,fact_sales,22-23,20260627010107,2026-06-27T01:01:07.334932+00:00,ok,
20220403,4205665904458485.0,CA/2,22-23,495.0,456.44,399.4244047619048,50.73559523809523,11.11550154195409,fact_sales,22-23,20260627010107,2026-06-27T01:01:07.334932+00:00,ok,
20220403,3489720634601733.0,CC/1,22-23,4543.0,4181.25,3732.133928571429,324.1860714285716,7.753329062566734,fact_sales,22-23,20260627010107,2026-06-27T01:01:07.334932+00:00,ok,
20220403,3617838188599257.0,CA/3,22-23,6032.0,5495.74,5092.594430992736,207.6655690072638,3.778664365622532,fact_sales,22-23,20260627010107,2026-06-27T01:01:07.334932+00:00,ok,
20220403,2179615438584728.8,CA/4,22-23,2893.0,4458.68,3847.482142857143,270.3778571428569,6.064078542143793,fact_sales,22-23,20260627010107,2026-06-27T01:01:07.334932+00:00,ok,
20220403,292452486193683.0,CR/1,22-23,491.0,562.5,388.125,50.21500000000003,8.927111111111117,fact_sales,22-23,20260627010107,2026-06-27T01:01:07.334932+00:00,ok,
20220403,2179615438584728.8,CA/6,22-23,2367.0,2006.34,1906.016949152542,99.8430508474578,4.976377425932682,fact_sales,22-23,20260627010107,2026-06-27T01:01:07.334932+00:00,ok,
20220403,2574731037712623.0,CC/2,22-23,1502.0,1578.6,1214.732142857143,126.3078571428573,8.0012578957847,fact_sales,22-23,20260627010107,2026-06-27T01:01:07.334932+00:00,ok,
20220403,2293717523671545.0,CA/7,22-23,910.0,854.93,726.2321428571429,86.2878571428571,10.09297335955658,fact_sales,22-23,20260627010107,2026-06-27T01:01:07.334932+00:00,ok,
20220403,2325146538862621.0,CR/2,22-23,1254.0,1230.74,1059.803571428571,59.85642857142863,4.863450328373875,fact_sales,22-23,20260627010107,2026-06-27T01:01:07.334932+00:00,ok,
20220403,1990301794783191.2,CA/8,22-23,5253.0,6740.68,4524.905952380954,255.6340476190462,3.792407407250398,fact_sales,22-23,20260627010107,2026-06-27T01:01:07.334932+00:00,ok,
20220403,4471560217044137.5,CR/3,22-23,3487.0,3385.12,2745.553571428572,537.5264285714288,15.87909523359375,fact_sales,22-23,20260627010107,2026-06-27T01:01:07.334932+00:00,ok,
20220403,1496667525589662.0,CC/3,22-23,3947.0,4087.77,3274.580357142857,249.5396428571424,6.104542155188341,fact_sales,22-23,20260627010107,2026-06-27T01:01:07.334932+00:00,ok,
20220403,353212308196224.0,CA/10,22-23,1551.0,1493.57,1250.25,134.5300000000002,9.007277864445603,fact_sales,22-23,20260627010107,2026-06-27T01:01:07.334932+00:00,ok,
20220403,2944593201036905.0,CC/4,22-23,856.0,810.37,722.3035714285713,41.95642857142859,5.177440992562482,fact_sales,22-23,20260627010107,2026-06-27T01:01:07.334932+00:00,ok,
20220403,2795696800066110.0,CA/11,22-23,814.0,843.2,654.625,72.13499999999998,8.554909867172672,fact_sales,22-23,20260627010107,2026-06-27T01:01:07.334932+00:00,ok,
